shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts,rounds,error_rate,std_error_rate
1000000,947,0,4.81,pymatching,b0900ea4859ca03134465941ffc4a1d79e0b72de4387a5fe4c6023781d0ef6d7,"{""rounds"":1}",,1,0.000947,3.075879046711688e-05
1000000,4757,0,11.3,pymatching,5be86820a9a461920fd02c847e5ee03df740df8bbd87527021a1a29bbecce69f,"{""rounds"":2}",,2,0.004757,6.880676529964186e-05
1000000,11142,0,22.6,pymatching,36a296690297d83c53294e462a0ab8779660e9605a3d6a0745618b8b85ff59c4,"{""rounds"":3}",,3,0.011142,0.00010496597465845779
1000000,18928,0,30.2,pymatching,1dec5a1b431709df611edd2833241c76b9c43f04291a9b16e0ebe59a935cba03,"{""rounds"":4}",,4,0.018928,0.00013627079957202864
1000000,27982,0,43.4,pymatching,b90595dd76d84cb5f8797afb18e30f5bd99ce74a4ff6db8936dcf874eb0abbde,"{""rounds"":5}",,5,0.027982,0.00016492121657324748
1000000,36417,0,57.2,pymatching,59098b35404aea42108e098885fcc674cdb721238f027b0ce2ea211637b38ce3,"{""rounds"":6}",,6,0.036417,0.00018732539099385325
1000000,46095,0,69.3,pymatching,2e5135240508f61ba7d482b2dae9f7d4af91fa09b457a571997669bba850589f,"{""rounds"":7}",,7,0.046095,0.00020969084618790588
1000000,54561,0,77.4,pymatching,ded5fb2bb4ab844e27672f7ca963358787a070b56073c00a95f087420684bb21,"{""rounds"":8}",,8,0.054561,0.00022712132722181773
1000000,64093,0,88.1,pymatching,2d18ac9d2dbc01074a1bb0f775c1e1b7547b8492923092875f0f3754d9c368b7,"{""rounds"":9}",,9,0.064093,0.00024491853206933933
