shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts,rounds,error_rate,std_error_rate
10000000,1477,0,116.0,pymatching,039cdd29599bad0d0b878ec41f00204700f55da00c8998e47df5aea7adc9951e,"{""rounds"":1}",,1,0.0001477,3.8428919411037314e-06
10000000,14111,0,351.4,pymatching,65b4e9e90b9be1bd1e7dea95d8cf8031d849360232bd03f04d2ee6d0e3028a9a,"{""rounds"":2}",,2,0.0014111,1.1870588851400759e-05
10000000,45957,0,641.1,pymatching,6edb19ceb3a0497c340f2d81f15333bc989145311be013ee8d0480b9313af940,"{""rounds"":3}",,3,0.0045957,2.138826674022465e-05
10000000,95150,0,856.0,pymatching,2d78cfdcd969bb49de0473111a4160a81935c80edfdc6e3f23bab9bdc5ac7378,"{""rounds"":4}",,4,0.009515,3.069929115631173e-05
10000000,158696,0,1273.5,pymatching,1ed53c48d81e746b9ce86f07d1462b9304a6a9e55a6c81af299eeb3f0bfba236,"{""rounds"":5}",,5,0.0158696,3.951930641577607e-05
10000000,228932,0,1500.4,pymatching,6da5a378375127f78aafeca0d1bb272e8d27a59672ebacba89328d0d63dec6da,"{""rounds"":6}",,6,0.0228932,4.729598438954411e-05
10000000,305979,0,1892.8,pymatching,b7b6413cb77be41547053b7c67ee758a2353287dfa352ad3e851d1893a3986be,"{""rounds"":7}",,7,0.0305979,5.446252703978214e-05
10000000,385198,0,2096.1,pymatching,b340d70d17ecac7041ed5a54199a64649e7d0d79d0aa90b18609ca037115b4f6,"{""rounds"":8}",,8,0.0385198,6.085723047260695e-05
10000000,465751,0,2469.0,pymatching,710e9fbbddbfb5bf70f1d25f27c7ce5eea994595802c91228725dbcd773f26df,"{""rounds"":9}",,9,0.0465751,6.663772209491407e-05
10000000,545250,0,2774.2,pymatching,0e0c645167cd4f7270d3845fb2a8fc6b3e82f823056ed08fdd2c8c315bc2c9c2,"{""rounds"":10}",,10,0.054525,7.179973842222546e-05
10000000,623891,0,3313.7,pymatching,0a2bf3aac00878312bb45cc10a6841c9ad440a683fa19f456e6d3b149c28962e,"{""rounds"":11}",,11,0.0623891,7.648313552750697e-05
10000000,703654,0,3509.9,pymatching,ed6008f37a2bdf7cd294731f2bea5888483a11b62d6b6823adacfe30e7830b38,"{""rounds"":12}",,12,0.0703654,8.08789901537105e-05
10000000,782483,0,3712.8,pymatching,319e818a5c2913ffe670539b314fb41a12b7048475d8d98957bbf6373a02f194,"{""rounds"":13}",,13,0.0782483,8.492673521754501e-05
