shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts,rounds,error_rate,std_error_rate
5000000,11272,0,50.5,pymatching,982b9586524ebd75b70a30165331e459633d073ec9aef75ba491bb3aff47a8a1,"{""rounds"":1}",,1,0.0022544,2.1209986707398004e-05
5000000,42350,0,128.4,pymatching,b810e0fb3244c833d06dcfcee2e0f1a6071f8e8f5468f919867a41a75eb875e7,"{""rounds"":2}",,2,0.00847,4.0983555482656695e-05
5000000,85007,0,237.7,pymatching,e3afe2a86bfacfe93c57d443839d004c733c3952c338e5b4bf893f4ebf1840d8,"{""rounds"":3}",,3,0.0170014,5.781410277439234e-05
5000000,134050,0,304.0,pymatching,ff12346a75570f8599dfc8387daf8c91e7cf776e7376d88c5c55e53b8d5c04a5,"{""rounds"":4}",,4,0.02681,7.223741952755512e-05
5000000,183154,0,362.3,pymatching,258008801121e2426a6c42ed97bc89302951adca793213c967dbb64e650546cb,"{""rounds"":5}",,5,0.0366308,8.401069514217817e-05
5000000,232932,0,403.8,pymatching,4b088e119a08110d23f286133a62b8f4584e94cc269fc138d708bc764f58de2c,"{""rounds"":6}",,6,0.0465864,9.425084332252947e-05
5000000,281427,0,573.2,pymatching,e3da1de7c01415a02cf5f69f34721c584f2facac1e364b73bf183e6a06a618bb,"{""rounds"":7}",,7,0.0562854,0.00010307022241834932
